id_pdc_local,statut_pdc,arrondissement,id_station_local,id_station_itinerance,nom_station,code_insee_commune,implantation_station,nbre_pdc,date_maj,condition_acces,adresse_station,coordonneesxy,gratuit,paiement_acte,paiement_cb,paiement_autre,reservation,observations,num_pdl,siren_amenageur,contact_amenageur,nom_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,tarification,id_pdc_itinerance,date_mise_en_service,accessibilite_pmr,restriction_gabarit,station_deux_roues,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,prise_type_3,horaires,raccordement,collection_name
FR*V75*E9015*07*3,En service,15e Arrondissement,FR*V75*P9015*07,FRV75P901507,Paris | Rue Theophraste Renaudot 21,75115,Voirie,3,2024-07-01,Accès libre,21 Rue Theophraste Renaudot 75015 Paris,"{'lon': 2.296744, 'lat': 48.841286}",false,true,false,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",50031204105847,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75E9015073,2021-10-01T20:53:41+00:00,Non accessible,aucune restriction,False,22,True,True,True,True,False,True,24/7,Direct,belib
FR*V75*E9016*04*3,En service,16e Arrondissement,FR*V75*P9016*04,FRV75P901604,Paris | Avenue Marcel Doret 4,75116,Voirie,3,2024-07-01,Accès libre,4 Avenue Marcel Doret 75016 Paris,"{'lon': 2.259932, 'lat': 48.837055}",false,true,false,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",07424312488560,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75E9016043,2021-03-15T14:42:13+00:00,Non accessible,aucune restriction,False,22,True,True,True,True,False,True,24/7,Direct,belib
FR*V75*EPX03*01*4,En service,Paris centre,FR*V75*PPX03*01,FRV75PPX0301,Paris | Rue Saint-Martin 204,75103,Voirie,4,2024-07-01,Accès libre,204 Rue Saint-Martin 75003 Paris,"{'lon': 2.3526978, 'lat': 48.86334}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7167004265326,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX03014,2021-05-12T10:02:42+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX04*02*5,En service,Paris centre,FR*V75*PPX04*02,FRV75PPX0402,Paris | Rue François Miron 80,75104,Voirie,5,2024-07-01,Accès libre,80 Rue François Miron 75004 Paris,"{'lon': 2.3591938, 'lat': 48.855366}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7167438418762,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX04025,2021-11-25T13:09:14+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX08*01*2,En service,08e Arrondissement,FR*V75*PPX08*01,FRV75PPX0801,Paris | Rue Pierre Charron  62,75108,Voirie,4,2024-07-01,Accès libre,62 Rue Pierre Charron 75008 Paris,"{'lon': 2.3036203, 'lat': 48.869644}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7463096860305,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX08012,2021-06-03T15:12:34+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX17*04*5,En service,17e Arrondissement,FR*V75*PPX17*04,FRV75PPX1704,Paris | Avenue de la Porte Pouchet 6,75117,Voirie,6,2024-07-01,Accès libre,6 Avenue de la Porte Pouchet 75017 Paris,"{'lon': 2.323452, 'lat': 48.897976}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7504052001142,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX17045,2021-07-12T13:58:30+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX01*04*2,En service,Paris centre,FR*V75*PPX01*04,FRV75PPX0104,Paris | Rue des Pyramides 12,75101,Voirie,6,2024-07-01,Accès libre,12 Rue des Pyramides 75001 Paris,"{'lon': 2.3329713, 'lat': 48.86486}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7165557087450,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX01042,2021-09-21T13:29:45+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX02*03*1,En service,Paris centre,FR*V75*PPX02*03,FRV75PPX0203,Paris | Rue Vivienne 43,75102,Voirie,4,2024-07-01,Accès libre,43 Rue Vivienne 75002 Paris,"{'lon': 2.3408933, 'lat': 48.870564}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7156874019315,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX02031,2021-11-03T09:23:07+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX05*09*5,En service,05e Arrondissement,FR*V75*PPX05*09,FRV75PPX0509,Paris | Rue Monge 58,75105,Voirie,5,2024-07-01,Accès libre,58 Rue Monge 75005 Paris,"{'lon': 2.3522773, 'lat': 48.84443}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7326772699723,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX05095,2021-08-11T10:26:49+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX08*09*3,En service,08e Arrondissement,FR*V75*PPX08*09,FRV75PPX0809,Paris | Rue Francois 1er 7,75108,Voirie,7,2024-07-01,Accès libre,7 Rue Francois 1er 75008 Paris,"{'lon': 2.308419, 'lat': 48.865772}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7452532460733,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX08093,2021-08-19T00:00:00+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX08*15*1,En service,08e Arrondissement,FR*V75*PPX08*15,FRV75PPX0815,Paris | Rue de Liège 24,75108,Voirie,6,2024-07-01,Accès libre,24 Rue de Liège 75008 Paris,"{'lon': 2.3263307, 'lat': 48.879597}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7532706125390,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX08151,2021-09-21T13:26:18+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX12*08*4,En service,12e Arrondissement,FR*V75*PPX12*08,FRV75PPX1208,Paris | Rue Fabre d'Églantine 2,75112,Voirie,5,2024-07-01,Accès libre,2 Rue Fabre d'Églantine 75012 Paris,"{'lon': 2.3953738, 'lat': 48.845577}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7244283539846,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX12084,2021-08-25T15:56:12+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*E9015*06*2,En service,15e Arrondissement,FR*V75*P9015*06,FRV75P901506,Paris | Rue Desnouettes 55,75115,Voirie,3,2024-07-01,Accès libre,55 Rue Desnouettes 75015 Paris,"{'lon': 2.286912, 'lat': 48.83571}",false,true,false,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",07436179348549,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75E9015062,2022-03-07T08:47:28+00:00,Non accessible,aucune restriction,False,4,True,False,False,False,False,False,24/7,Direct,belib
FR*V75*EPX09*01*2,En service,09e Arrondissement,FR*V75*PPX09*01,FRV75PPX0901,Paris | Rue Jules Lefèbvre 1,75109,Voirie,7,2024-07-01,Accès libre,1 Rue Jules Lefèbvre 75009 Paris,"{'lon': 2.3283632, 'lat': 48.880447}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7112156219189,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX09012,2021-06-30T09:32:46+00:00,Non accessible,aucune restriction,True,3,True,True,False,False,False,False,24/7,Direct,belib
FR*V75*EPX12*01*4,En service,12e Arrondissement,FR*V75*PPX12*01,FRV75PPX1201,Paris | Avenue du Docteur Arnold Netter 10,75112,Voirie,5,2024-07-01,Accès libre,50 Avenue du Docteur Arnold Netter 75012 Paris,"{'lon': 2.4058015, 'lat': 48.84436}",false,true,true,true,false,"['Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib', ""Plus d'information - https://belib.paris.fr""]",7252966607871,531680445,assistance.technique@tevgo.fr,TOTALENERGIES,TOTALENERGIES,assistance.technique@tevgo.fr,01 85 16 94 02,Belib',https://belib.paris,FRV75EPX12014,2021-06-10T14:16:20+00:00,Non accessible,aucune restriction,False,7,True,True,False,False,False,False,24/7,Direct,belib
